cunia,diaro
sãmbãtã,sâmbâtâ
cãtrã,câtrâ
stãmãnã,stâmânâ
nãscãntsã,nâscânțâ
ãndauã,îndauâ
cãsãbã,câsâbă
altãoarã,altâoarâ
cãtã,câtâ
fãrã,fârâ
ligãturã,ligâturâ
lãnd̦id̦ãri,lând̦id̦âri
pãnã,pânâ
siptãmãnã,siptâmânâ
sãnãtati,sânâtati
vãrnãoarã,vârnâoarâ
ãnveastã,înveastâ
acãtsatã,acâțatâ
ahãndoasã,ahândoasâ
alãsarã,alâsarâ
alãsatã,alâsatâ
alãsã,alâsâ
anyrãpsitã,anyrâpsitâ
aromãnã,aromânâ
arãmãnã,arâmânâ
astãnd̦ã,astând̦â
cãsãbãlu,câsâbâlu
cãsãbãlui,câsâbâlui
nãscãnti,nâscânti
nãscãntã,nâscântâ
s-bãnead̦ã,s-bânead̦â
s-d̦ãcã,s-d̦âcâ
s-mãcã,s-mâcâ
stãmãnãljei,stâmânâľei
stãmãnãllei,stâmânâllei
tutunãoarã,tutunâoarâ
unãoarã,unâoarâ
vãrtoasã,vârtoasâ
ãmplinã,împlină
ãndreaptã,îndreaptâ
ãntreagã,întreagâ
ãntrã,întrâ
ãnvitsarã,învițarâ
cãftã,câftă
hãlãts,hâlăț
mãhãlã,mâhâlă
pãhã,pâhă
pãrã,pâră
shã,șă
sãrmã,sârmă
ahãntã,ahântâ
arãdãriki,arâdâriki
arãdãtsinã,arâdâținâ
arãiatsã,arâiațâ
arãzgã,arâzgâ
ascãpitatã,ascâpitatâ
avd̦ãtã,avd̦âtâ
bãnatã,bânatâ
bãsearicã,bâsearicâ
cãldurã,câldurâ
cãntã,cântâ
cãshtigã,câștigâ
dimãndatã,dimândatâ
d̦ãcã,d̦âcâ
frãmturã,frâmturâ
frãntseascã,frânțeascâ
fãntãnã,fântânâ
grãndinã,grândinâ
gãrdinã,gârdinâ
malãmã,malâmâ
mãduuã,mâduuâ
mãnã,mânâ
niscãntsã,niscânțâ
niscãntã,niscântâ
nãngã,nângâ
shutsãturã,șuțâturâ
trã,trâ
tã,tâ
tãpoarã,tâpoarâ
urã,urâ
vãrnã,vârnâ
vãrã,vârâ
vãrãoarã,vârâoarâ
achicãseascã,achicâseascâ
achicãsirã,achicâsirâ
acumpãrã,acumpâră
acãtsarã,acâțarâ
acãtsã,acâțâ
adãvgã,adâvgâ
agãrsheascã,agârșeascâ
altuvãrã,altuvârâ
alãgã,alâgâ
alãxeascã,alâxeascâ
alãxirã,alâxirâ
alãxitã,alâxitâ
ampãrtsãts,ampârțâț
amãnarã,amânarâ
amãnatã,amânatâ
amãnã,amânâ
ancupãrã,ancupârâ
angrãpsitã,angrâpsitâ
anvãlitã,anvâlitâ
anãchisirã,anâchisirâ
anãltsatã,anâlțatâ
anãltsã,anâlță
anãnghisitã,anânghisitâ
aprãftãsirã,aprâftâsirâ
apãndãsirã,apândâsirâ
apãnghisitã,apânghisitâ
apãrã,apârâ
armãneascã,armâneascâ
armãneshtsã,armâneșțâ
armãneshtã,armâneștâ
armãnã,armânâ
aromãneascã,aromâneascâ
arãdã,arâdâ
arãdãrichi,arâdârichi
arãmasirã,arâmasirâ
arãmasã,arâmasâ
arãmãn,arâmân
arãmãn'i,arâmân'i
arãmãn'ilji,arâmân'iľi
arãmãn'ilor,arâmân'ilor
arãmãneascã,arâmâneascâ
arãmãnescu,arâmânescu
arãmãnim,arâmânim
arãspãndearea,arâspândearea
arãspãndearea-a,arâspândearea-a
arãspãndeari,arâspândeari
arãspãnditi,arâspânditi
arãspãnditã,arâspânditâ
arãsunã,arâsună
ascãparã,ascâparâ
ascãpã,ascâpâ
ashi-d̦ãsã,ași-d̦âsâ
astãd̦ã,astăd̦â
asãnd̦ã,asând̦â
avd̦ãrã,avd̦ârâ
bunã,bunâ
bãgarã,bâgarâ
bãgatã,bâgatâ
bãgã,bâgâ
bãgãm,bâgâm
bãnarã,bânarâ
bãnead̦ã,bânead̦â
bãnã,bânâ
bãnãtori,bânâtori
bãsearicãlei,bâsearicâlei
bãsericã,bâsericâ
bãseritsãlor,bâserițâlor
cãd̦urã,câd̦urâ
cãd̦utã,câd̦utâ
cãftarã,câftarâ
cãftatã,câftatâ
cãftãnda,câftânda
cãftãri,câftâri
cãftãrli,câftârli
cãlcatã,câlcatâ
cãlcã,câlcâ
cãliseascã,câliseascâ
cãndãseascã,cândâseascâ
cãndãsirã,cândâsirâ
cãntarã,cântarâ
cãntãtoarea,cântâtoarea
cãntãtoari,cântâtoari
cãntãtor,cântâtor
cãntãtori,cântâtori
cãntãtorlu,cântâtorlu
cãrtsã,cârțâ
cãrtsãli,cârțâli
cãtivãrãoarã,câtivârâoarâ
di-unãoarã,di-unâoarâ
dimãndarã,dimândarâ
dimãndã,dimândâ
diunãoarã,diunâoarâ
dumãnicã,dumânicâ
d̦ãsirã,d̦âsirâ
dãnãsearea,dânâsearea
dãnãseascã,dânâseascâ
dãnãsirã,dânâsirâ
dãnãsitã,dânâsitâ
frãmtã,frâmtâ
frãtseascã,frâțeascâ
ghivãseascã,ghivâseascâ
grãtseascã,grâțeascâ
gãilipsitã,gâilipsitâ
gãrtseascã,gârțeascâ
hãbãri,hâbâri
hãbãrli,hâbârli
hãbãrlor,hâbârlor
hãirlãtitsi,hâirlâtiți
hãlãt,hâlât
hãlãtsli,hâlâțli
hãlãtsloru,hâlâțloru
hãrioasã,hârioasâ
hãrãseascã,hârâseascâ
hãrãsirã,hârâsirâ
hãrãsitã,hârâsitâ
loatã,loatâ
lãhtãroasã,lâhtâroasâ
lãxeascã,lâxeascâ
macedo-romãnã,macedo-românâ
mentsãnã,mențânâ
mãcatã,mâcatâ
mãcã,mâcâ
mãcãri,mâcâri
mãhãlãlu,mâhâlâlu
mãnãstirea,mânâstirea
mãrtatã,mârtatâ
mãsturlãchea,mâsturlâchea
mãyipsitã,mâyipsitâ
ndrupãtã,ndrupâtâ
ngrãpsirã,ngrâpsirâ
nitseunãoarã,nițeunâoarâ
nitsiunãoarã,nițiunâoarâ
numãsitã,numâsitâ
nãndauã,nândauâ
nãscãntor,nâscântor
nãscãntoru,nâscântoru
nãsã,nâsâ
oarfãnã,oarfânâ
obtsãnã,obțânâ
prãmãtie,prâmâtie
prãvd̦ã,prâvd̦â
prãvd̦ãli,prâvd̦âli
prãvd̦ãlor,prâvd̦âlor
prãvd̦ãloru,prâvd̦âloru
putsãnã,puțânâ
pãhãlu,pâhâlu
pãhãlui,pâhâlui
pãrad̦ãli,pârad̦âli
pãrad̦ãlji,pârad̦âľi
pãrinteascã,pârinteascâ
pãrintsã,pârințâ
pãrintsãlji,pârințâľi
pãrintsãli,pârințâli
pãrintsãlli,pârințâlli
pãrintsãlor,pârințâlor
pãrtsã,pârțâ
pãrtsãle,pârțâle
pãrtsãli,pârțâli
pãrãstãsitã,pârâstâsitâ
pãstread̦ã,pâstread̦â
pãzãrli,pâzârli
romãneascã,româneascâ
romãnã,românâ
rãmãn,râmân
rãmãneascã,râmânească
rãmãnã,rămânâ
s'amãnã,s'amânâ
s'armãnã,s'armânâ
s'arãspãndeascã,s'arâspândeascâ
s'bãgã,s'bâgâ
s-achicãseascã,s-achicâseascâ
s-apãrã,s-apârâ
s-armãnã,s-armânâ
s-bãgãm,s-bâgâm
s-cilãstãseascã,s-cilâstâseascâ
s-cãftãm,s-câftâm
s-cãntã,s-cântâ
s-tsãnurã,s-țânurâ
s-tsãnã,s-țânâ
sarmãnã,sarmânâ
scãd̦urã,scâd̦urâ
septãmãna,septâmâna
septãmãnãljei,septămânâľei
sh-nãsã,ș-nâsâ
sh-pãnã,ș-pânâ
siptãmãn'i,siptâmân'i
siptãmãna,siptâmâna
slãgheascã,slâgheascâ
strãmbã,strâmbâ
strãxeascã,strâxeascâ
stã-mãrie,stâ-mârie
stãmãn'i,stâmân'i
stãmãna,stâmâna
stãmãnji,stâmâńi
stãmãnjilli,stâmâńilli
stãmãňi,stâmâňi
sustsãnutã,susțânutâ
sustsãnã,susțânâ
sãhãts,sâhâț
sãmtsãlji,sâmțâľi
sãmtã,sâmtâ
sãnãtoasã,sânâtoasâ
sãptãmãnalã,sâptămânalâ
sãrbeascã,sârbeascâ
sãrbãtoarea,sârbâtoarea
sãrbãtorli,sârbâtorli
sãrbãtoritã,sârbătoritâ
sãrunã,sârunâ
tsãnurã,țânurâ
tsãnutã,țânutâ
tsãnã,țânâ
tutnãoarã,tutnâoarâ
tãnutã,tânutâ
tãnã,tânâ
tãpãrli,tâpârli
unãshiunã,unâșiunâ
vãtãmarã,vâtâmarâ
vãtãmatã,vâtâmatâ
vãtãmã,vâtâmâ
zburãrã,zburârâ
zburãtã,zburâtâ
ã,î
ãl,îl
ãli,îli
ãlji,îľi
ãlli,îlli
ãlu,îlu
ãmplini,împlini
ãn,în
ãn'i,în'i
ãnchisi,închisi
ãndreapti,îndreapti
ãndreptu,îndreptu
ãndreptul,îndreptul
ãnhiintsatã,înhiințatâ
ãnji,îńi
ãnreghistratã,înreghistratâ
ãnreghistread̦ã,înreghistread̦â
ãnreghistrã,înreghistră
ãnvitsã,înviță
ãshi,își
ãmpãrtsãtã,împârțâtă
ãncljisã,încľisâ
ãnvitsatã,învițatâ
ahaincã,ahaincă
amirã,amiră
aroatã,aroată
arãsgãnã,arâsgână
arãd̦,arăd̦
arãd̦ãmu,arăd̦âmu
arãu,arău
ashã,așă
azã,ază
bicã,bică
buzã,buză
bãltã,bâltă
catrimã,catrimă
ceapã,ceapă
curmã,curmă
cãtsãnu,câțănu
cãvgã,câvgă
cã,că
cãnd,cănd
cãrmuescu,cărmuescu
cãtã-,cătă-
diznãu,diznău
dãlaga,dălaga
furnã,furnă
futã,fută
fã,fă
fãd̦etu,făd̦etu
fãrmacu,fârmacu
ghizã,ghizâ
hãrã,hâră
hãri,hări
hãshti,hăști
icã,ică
ifhãristisescu,ifhăristisescu
kerã,keră
kinã,kină
kirã,kiră
ljiuftã,ľiuftă
macã,macă
mad̦ãri,mad̦ări
mard̦inã,mard̦ină
mã,mă
mãni,măni
nicã,nică
ningã,ningă
nishalã,nișală
nãu,nău
nãvrãscã,năvrâscâ
parã,pară
pulitsã,pulițâ
rãu,rău
stifã,stifă
strimturã,strimtură
sufrã,sufră
trãtu,trătu
tucã,tucă
tãu,tău
ublãncu,ublăncu
udã,udă
yãitani,yăitani
yãryãliciu,yăryăliciu
zburãscu,zburăscu
acasã,acasâ
acãtsatu,acâțatu
aducã,aducâ
ad̦ã,ad̦â
aerã,aerâ
afiritã,afiritâ
afoarã,afoarâ
afumãturã,afumâturâ
agiucãtoru,agiucâtoru
agiumtã,agiumtâ
agãrshescu,agârșescu
ahtãti,ahtâti
ahurhitã,ahurhitâ
ahãnda,ahânda
ahãndosu,ahândosu
ahãndusimi,ahândusimi
ahãnti,ahânti
ahãntsã,ahânțâ
ahãntu,ahântu
ahãrd̦escu,ahârd̦escu
ahãti,ahâti
ahãtu,ahâtu
ahãtã,ahâtâ
akicãsescu,akicâsescu
alagã,alagâ
alantã,alantâ
alavdã,alavdâ
albã,albâ
alcã,alcâ
alumtã,alumtâ
alãncescu,alâncescu
alãturi,alâturi
alãvdari,alâvdari
alãxescu,alâxescu
alãximintu,alâximintu
ameasticã,ameasticâ
amãnatu,amânatu
amãreatsã,amâreațâ
amãrtii,amârtii
ancãrcatu,ancârcatu
andralã,andralâ
andãmusescu,andâmusescu
angãtanu,angâtanu
anjiurizmã,ańiurizmâ
ansãreari,ansâreari
anticã,anticâ
anvãlescu,anvâlescu
anvãrliga,anvârliga
apalã,apalâ
apelã,apelâ
apiritã,apiritâ
apreasã,apreasâ
apã,apâ
apãru,apâru
apãrãtoru,apârâtoru
arad̦ã,arad̦â
aramã,aramâ
aranã,aranâ
arauã,arauâ
arendã,arendâ
arhiusitã,arhiusitâ
arihãtipsescu,arihâtipsescu
arinã,arinâ
armatã,armatâ
armã,armâ
armãnami,armânami
armãneari,armâneari
armãnescu,armânescu
armãnu,armânu
arpitã,arpitâ
arãdeari,arâdeari
arãhati,arâhati
arãkitu,arâkitu
arãkitã,arâkitâ
arãpasu,arâpasu
arãsã,arâsâ
arãtsimi,arâțimi
arãvdari,arâvdari
arãvdãtoru,arâvdâtoru
ascapitã,ascapitâ
ascãpitatu,ascâpitatu
asearã,asearâ
asparizmã,asparizmâ
aspartã,aspartâ
astarã,astarâ
atã,atâ
aumbrã,aumbrâ
aushitã,aușitâ
auuã,auuâ
avd̦ãtu,avd̦âtu
avrã,avrâ
ayalmã,ayalmâ
babã,babâ
baltã,baltâ
bancã,bancâ
bandã,bandâ
banã,banâ
barbã,barbâ
batã,batâ
besã,besâ
birã,birâ
bitisitã,bitisitâ
bitsitã,bițitâ
bitãrnu,bitârnu
biuturã,biuturâ
blãndã,blândâ
bombã,bombâ
brãnd̦ã,brând̦â
bucatã,bucatâ
bud̦ã,bud̦â
bufã,bufâ
buiauã,buiauâ
buneatsã,buneațâ
bunãoarã,bunâoarâ
bãcãri,bâcâri
bãnatu,bânatu
bãned̦u,bâned̦u
bãrbãtami,bârbâtami
bãrbãteascã,bârbâteascâ
bãrbãteashti,bârbâteaști
bãrbãteatsã,bârbâteațâ
bãrbãtescu,bârbâtescu
bãrnu,bârnu
bãrnuti,bârnuti
bãrnã,bârnâ
bãruti,bâruti
canã,canâ
capelã,capelâ
caprã,caprâ
carã,carâ
casã,casâ
catã,catâ
cearã,cearâ
ceatã,ceatâ
cilãstisescu,cilâstisescu
cioarã,cioarâ
ciorbã,ciorbâ
ciucã,ciucâ
ciumagã,ciumagâ
ciumã,ciumâ
clarã,clarâ
climatã,climatâ
climã,climâ
cljeamã,cľeamâ
coadã,coadâ
coardã,coardâ
coastã,coastâ
comã,comâ
condicã,condicâ
contrã,contrâ
creangã,creangâ
creastã,creastâ
crimã,crimâ
crãciunu,crâciunu
cufalã,cufalâ
culindã,culindâ
culã,culâ
cumatã,cumatâ
cumãtici,cumâtici
cunetã,cunetâ
cupã,cupâ
curunã,curunâ
curã,curâ
custicã,custicâ
custurã,custurâ
cusurinã,cusurinâ
cuvendã,cuvendâ
cãbati,câbati
cãbili,câbili
cãbuli,câbuli
cãdeari,câdeari
cãftoru,câftoru
cãlami,câlami
cãlcari,câlcari
cãldurosu,câldurosu
cãlescu,câlescu
cãlici,câlici
cãlisescu,câlisescu
cãlugãrescu,câlugârescu
cãmilaru,câmilaru
cãmilã,câmilâ
cãmpu,câmpu
cãndilã,cândilâ
cãndu,cându
cãndãsescu,cândâsescu
cãni,câni
cãnjinã,câńinâ
cãntatã,cântatâ
cãnticu,cânticu
cãntu,cântu
cãpitsã,câpițâ
cãpushi,câpuși
cãrbunaru,cârbunaru
cãrbuni,cârbuni
cãrteari,cârteari
cãrunã,cârunâ
cãrvani,cârvani
cãrvãnaru,cârvânaru
cãsharu,câșaru
cãsicã,câsicâ
cãsãbad̦,câsâbad̦
cãti,câti
cãtrani,câtrani
cãts,câț
cãtsãlacu,câțâlacu
cãtu,câtu
cãuli,câuli
cãvalã,câvalâ
cãvgãgi,câvgâgi
dacã,dacâ
dadã,dadâ
dalgã,dalgâ
damcã,damcâ
datã,datâ
dauã,dauâ
dhiatã,dhiatâ
dhoarã,dhoarâ
di-alagã,di-alagâ
dimineatsã,dimineațâ
dimneatsã,dimneațâ
dimãndari,dimândari
dimãndatu,dimândatu
dimãndu,dimându
dinafoarã,dinafoarâ
dintanã,dintanâ
dintrã,dintrâ
dinãoarã,dinâoarâ
dinãpoi,dinâpoi
dinãuntru,dinâuntru
dipriunã,dipriunâ
dipãrtari,dipârtari
dipãrtosu,dipârtosu
disagã,disagâ
dishtiptatã,diștiptatâ
diunã,diunâ
diunãcali,diunâcali
dizvãrtescu,dizvârtescu
doagã,doagâ
doamnã,doamnâ
doarã,doarâ
dominã,dominâ
doxã,doxâ
drãshcljeauã,drâșcľeauâ
dublã,dublâ
ducã,ducâ
dunjeauã,duńeauâ
dupã,dupâ
durã,durâ
dushmãnilji,dușmâniľi
